release_date,original_title,vote_average
1995-10-30,Toy Story,7.7
1995-12-15,Jumanji,6.9
1995-12-22,Grumpier Old Men,6.5
1995-12-22,Waiting to Exhale,6.1
1995-02-10,Father of the Bride Part II,5.7
1995-12-15,Heat,7.7
1995-12-15,Sabrina,6.2
1995-12-22,Tom and Huck,5.4
1995-12-22,Sudden Death,5.5
1995-11-16,GoldenEye,6.6
1995-11-17,The American President,6.5
1995-12-22,Dracula: Dead and Loving It,5.7
1995-12-22,Balto,7.1
1995-12-22,Nixon,7.1
1995-12-22,Cutthroat Island,5.7
1995-11-22,Casino,7.8
1995-12-13,Sense and Sensibility,7.2
1995-12-09,Four Rooms,6.5
1995-11-10,Ace Ventura: When Nature Calls,6.1
1995-11-21,Money Train,5.4
1995-10-20,Get Shorty,6.4
1995-10-27,Copycat,6.5
1995-10-06,Assassins,6.0
1995-10-27,Powder,6.3
1995-10-27,Leaving Las Vegas,7.1
1995-12-15,Othello,7.0
1995-10-20,Now and Then,6.6
1995-09-27,Persuasion,7.4
1995-05-16,La Cité des Enfants Perdus,7.6
1995-04-30,摇啊摇，摇到外婆桥,6.5
1995-08-11,Dangerous Minds,6.4
1995-12-29,Twelve Monkeys,7.4
1996-09-18,"Guillaumet, les ailes du courage",6.8
1995-07-18,Babe,6.0
1995-11-08,Carrington,6.4
1995-12-29,Dead Man Walking,7.3
1995-10-20,Across the Sea of Time,3.5
1995-11-17,It Takes Two,6.1
1995-07-19,Clueless,6.9
1995-12-15,"Cry, the Beloved Country",6.7
1995-12-29,Richard III,6.9
1995-10-06,Dead Presidents,6.6
1995-12-29,Restoration,6.3
1995-08-18,Mortal Kombat,5.4
1995-05-20,To Die For,6.7
1995-10-06,How To Make An American Quilt,6.5
1995-09-22,Se7en,8.1
1995-06-14,Pocahontas,6.7
1995-05-05,When Night Is Falling,5.9
1995-07-19,The Usual Suspects,8.1
1994-11-22,Guardian Angel,6.3
1995-09-13,Mighty Aphrodite,6.7
1994-01-01,Lamerica,7.7
1995-09-29,The Big Green,5.2
1995-05-19,Georgia,6.1
1997-07-08,Kids of the Round Table,3.0
1995-11-02,Home for the Holidays,6.3
1994-09-22,Il postino,7.6
1995-09-29,Le confessionnal,6.5
1995-07-14,The Indian in the Cupboard,5.9
1996-01-12,Eye for an Eye,5.8
1995-12-29,Mr. Holland's Opus,6.9
1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
1996-01-12,Two If by Sea,4.5
1996-01-12,Bio-Dome,4.4
1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.8
1995-10-22,Two Bits,5.4
1995-02-08,Gazon maudit,6.0
1995-04-26,Friday,7.0
1996-01-19,From Dusk Till Dawn,6.9
1995-11-03,Fair Game,4.1
1995-10-06,Kicking and Screaming,7.0
1995-03-22,Les misérables,6.6
1996-01-26,Bed of Roses,5.1
1996-01-26,Big Bully,3.9
1995-09-08,Screamers,6.1
1995-02-18,Nico Icon,7.3
1995-11-15,The Crossing Guard,6.1
1996-02-02,The Juror,5.5
1995-01-01,بادکنک سفید,7.5
1995-12-01,Things to Do in Denver When You're Dead,6.7
1995-09-12,Antonia,7.2
1996-01-26,Once Upon a Time... When We Were Colored,4.5
1995-11-22,Last Summer in the Hamptons,0.0
1995-09-10,Angels and Insects,6.3
1996-02-02,White Squall,6.3
1996-01-12,Dunston Checks In,5.1
1996-02-01,Black Sheep,6.0
1995-11-22,Nick of Time,6.1
1995-09-14,The Journey of August King,6.7
1996-02-23,Mary Reilly,5.7
1995-10-26,Vampire in Brooklyn,4.5
1996-02-09,Beautiful Girls,6.6
1996-02-09,Broken Arrow,5.7
1995-12-01,A Midwinter's Tale,7.5
1995-05-31,La Haine,7.9
1994-12-06,Shopping,5.6
1995-12-27,Heidi Fleiss: Hollywood Madam,6.8
1996-02-16,City Hall,6.0
1996-02-21,Bottle Rocket,6.8
1996-02-16,Mr. Wrong,3.3
1996-02-23,Unforgettable,5.3
1996-02-16,Happy Gilmore,6.5
1995-05-28,The Bridges of Madison County,7.3
1994-11-07,Keiner liebt mich,5.1
1996-02-16,Muppet Treasure Island,6.5
1995-12-08,Catwalk,7.0
1995-05-20,Headless Body in Topless Bar,0.0
1995-05-24,Braveheart,7.7
1976-02-07,Taxi Driver,8.1
1995-01-30,紅番區,6.5
1996-02-23,Before and After,5.8
1995-09-13,Margaret's Museum,7.5
1995-01-31,Le Bonheur est dans le pré,7.0
1995-06-08,Anne Frank Remembered,7.3
1995-01-20,The Young Poisoner's Handbook,6.9
1996-03-08,If Lucy Fell,5.4
1995-09-29,Steal Big Steal Little,5.1
1996-03-22,Race the Sun,5.2
1992-12-06,The Boys of St. Vincent,7.0
1992-06-30,Boomerang,5.4
1994-07-14,重慶森林,7.9
1995-09-21,L'uomo delle stelle,6.8
1996-03-22,Flirting with Disaster,6.3
1994-10-26,The NeverEnding Story III,4.4
1994-09-30,صمت القصور,4.3
1995-01-01,Jupiter's Wife,0.0
1996-02-09,Pie in the Sky,7.0
1995-01-01,Angela,5.6
1995-11-22,Frankie Starlight,5.4
1995-10-13,Jade,5.1
1995-08-16,Nueba Yol,5.5
1995-08-01,Sonic Outlaws,0.0
1996-03-01,Down Periscope,5.6
1995-09-08,From the Journals of Jean Seberg,6.5
1995-09-15,Man of the Year,3.8
1995-08-23,The Neon Bible,7.2
1995-08-01,Target,0.0
1996-03-01,Up Close & Personal,5.9
1996-03-08,The Birdcage,6.7
1995-10-12,Gospa,7.0
1995-08-09,The Brothers McMullen,6.3
1995-04-07,Bad Boys,6.5
1995-08-25,The Amazing Panda Adventure,5.0
1995-04-21,The Basketball Diaries,7.2
1995-07-21,An Awfully Big Adventure,6.0
1994-08-05,Amateur,6.5
1995-06-30,Apollo 13,7.3
1995-04-13,Rob Roy,6.5
1995-01-10,The Addiction,6.4
1995-06-16,Batman Forever,5.2
1967-05-24,Belle de jour,7.3
1995-05-24,Beyond Rangoon,6.4
1995-09-15,Blue in the Face,6.8
1995-06-08,Canadian Bacon,5.9
1995-05-26,Casper,6.0
1995-09-15,Clockers,6.8
1995-06-09,Congo,5.0
1995-05-12,Crimson Tide,7.0
1994-09-10,Crumb,7.6
1995-08-25,Desperado,6.8
1995-09-15,Devil in a Blue Dress,6.3
1995-05-19,Die Hard: With a Vengeance,6.9
1995-10-27,The Doom Generation,5.6
1995-10-12,Feast of July,0.0
1995-07-07,First Knight,5.9
1995-07-19,Free Willy 2 - The Adventure Home,5.5
1995-09-14,Hackers,6.2
1995-08-18,Jeffrey,6.5
1995-05-26,Johnny Mnemonic,5.5
1995-06-30,Judge Dredd,5.4
1995-04-12,Jury Duty,4.0
1995-07-28,Kids,6.8
1995-01-20,Living in Oblivion,7.2
1995-08-25,Lord of Illusions,5.9
1993-05-20,Love & Human Remains,7.0
1995-05-26,Mad Love,5.5
1995-10-20,Mallrats,6.8
1995-06-30,Mighty Morphin Power Rangers: The Movie,5.2
1995-09-29,Moonlight and Valentino,5.6
1995-09-28,Mute Witness,6.4
1994-09-13,Nadja,5.9
1995-07-28,The Net,5.6
1995-07-12,Nine Months,5.5
1995-06-09,Party Girl,5.8
1995-09-01,The Prophecy,6.4
1995-11-17,Reckless,10.0
1995-06-23,Safe,7.2
1995-10-13,The Scarlet Letter,5.5
1995-08-25,The Show,5.3
1995-09-22,Showgirls,4.9
1995-06-09,Smoke,7.2
1995-08-04,Something to Talk About,5.7
1995-07-07,Species,5.5
1995-09-15,The Stars Fell on Henrietta,6.6
1995-10-13,Strange Days,6.8
1964-02-19,Les parapluies de Cherbourg,7.6
1995-09-08,The Tie That Binds,4.6
1995-10-27,Three Wishes,6.1
1995-11-02,Total Eclipse,6.5
1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3
1995-07-13,Under Siege 2: Dark Territory,5.6
1995-09-15,Unstrung Heroes,6.4
1995-08-11,Unzipped,6.0
1995-08-11,A Walk in the Clouds,6.5
1995-07-28,Waterworld,5.9
1995-12-01,White Man's Burden,5.1
1995-12-01,Wild Bill,5.9
1994-10-12,The Browning Version,6.0
1995-08-04,Bushwhacked,4.9
1994-05-01,Утомлённые солнцем,6.7
1994-06-09,Before the Rain,7.7
1995-01-27,Before Sunrise,7.7
1995-02-10,Billy Madison,6.2
1995-10-17,The Babysitter,4.7
1995-02-03,Boys on the Side,6.3
1995-04-21,The Cure,7.2
1995-08-04,Castle Freak,5.8
1995-03-16,Circle of Friends,6.5
1994-09-13,Clerks,7.4
1994-10-01,Don Juan DeMarco,6.3
1994-12-09,Disclosure,5.9
1995-01-01,Dream Man,2.5
1994-12-08,Drop Zone,5.1
1995-04-28,Destiny Turns on the Radio,5.3
1994-05-04,Death and the Maiden,7.1
1995-03-24,Dolores Claiborne,7.1
1994-12-16,Dumb and Dumber,6.5
1994-08-03,飲食男女,7.5
1994-09-24,Exotica,6.5
1994-10-14,Exit to Eden,4.3
1994-09-27,Ed Wood,7.3
1995-05-05,French Kiss,6.2
1995-05-19,Forget Paris,6.1
1995-01-13,Far from Home: The Adventures of Yellow Dog,5.6
1995-04-07,A Goofy Movie,6.7
1995-03-03,Hideaway,5.0
1995-06-02,Fluke,6.6
1994-12-07,Farinelli,5.9
1995-05-12,Gordy,3.0
1995-12-01,Gumby: The Movie,5.0
1994-09-16,The Glass Shield,5.4
1994-09-12,Hoop Dreams,7.7
1994-09-02,Heavenly Creatures,6.9
1995-01-06,Houseguest,6.0
1994-12-16,Immortal Beloved,6.9
1995-02-17,Heavyweights,6.0
1995-02-24,The Hunted,6.0
1994-12-24,I.Q.,5.9
1994-11-11,Interview with the Vampire,7.2
1995-03-31,Jefferson in Paris,5.2
1995-02-03,The Jerky Boys,4.8
1994-11-22,Junior,4.7
1995-02-17,Just Cause,6.0
1995-08-11,A Kid in King Arthur's Court,4.3
1995-04-21,Kiss of Death,5.7
1977-05-25,Star Wars,8.1
1994-12-21,Little Women,7.0
1995-05-10,A Little Princess,7.4
1994-02-18,Ladybird Ladybird,7.4
1994-02-16,L'Enfer,6.6
1992-04-16,Como agua para chocolate,6.6
1994-12-16,Legends of the Fall,7.2
1995-03-24,Major Payne,6.1
1994-10-27,Little Odessa,6.4
1994-06-08,Mi Vida Loca,5.7
1994-10-21,Love Affair,4.3
1995-03-17,Losing Isaiah,6.4
1994-12-28,The Madness of King George,6.7
1994-11-04,Frankenstein,6.1
1995-03-03,Man of the House,5.1
1994-12-21,Mixed Nuts,5.2
1994-08-31,Milk Money,5.6
1994-11-18,Miracle on 34th Street,6.4
1995-01-27,Miami Rhapsody,5.6
1995-05-03,My Family,7.0
1995-01-20,Murder in the First,6.9
1994-12-23,Nobody's Fool,7.0
1994-12-23,Nell,6.1
1995-04-19,New Jersey Drive,6.9
1993-08-14,New York Cop,0.0
1994-04-22,Beyond Bedlam,4.0
1995-09-26,Nemesis 2 - Nebula,4.6
1995-03-03,Nina Takes a Lover,7.4
1994-08-25,Natural Born Killers,6.9
1994-09-17,Only You,6.4
1994-09-02,Once Were Warriors,7.6
1996-01-16,Poison Ivy II: Lily,4.6
1995-03-10,Outbreak,6.4
1994-09-14,Léon,8.2
1995-05-12,The Perez Family,6.6
1995-04-28,A Pyromaniac's Love Story,7.0
1994-09-10,Pulp Fiction,8.3
1995-11-10,Panther,6.4
1992-02-01,Pushing Hands,6.1
1994-01-01,Priest,6.4
1994-09-16,Quiz Show,7.1
1995-05-05,Picture Bride,7.4
1994-05-13,La Reine Margot,7.0
1995-02-09,The Quick and the Dead,6.2
1995-03-01,Roommates,6.4
1994-12-23,Prêt-à-Porter,5.3
1994-05-27,Trois couleurs : Rouge,7.8
1993-01-10,Trois couleurs : Bleu,7.7
1994-01-26,Trois couleurs : Blanc,7.3
1994-10-14,Pao Da Shuang Deng,7.0
1995-01-01,Rent-a-Kid,5.1
1995-10-03,Relative Fear,4.7
1995-04-12,Stuart Saves His Family,5.0
1994-11-18,The Swan Princess,6.5
1994-01-01,The Secret of Roan Inish,6.1
1994-10-07,The Specialist,5.5
1994-10-27,Stargate,6.8
1994-11-10,The Santa Clause,6.3
1994-09-23,The Shawshank Redemption,8.5
1994-12-22,Shallow Grave,7.0
1993-09-14,Suture,6.0
1993-01-01,Fresa y chocolate,7.1
1994-09-10,Swimming with Sharks,6.7
1994-07-12,The Sum of Us,6.0
1995-09-08,Senior Trip,5.7
1994-06-30,活着,7.7
1995-03-31,Tank Girl,5.5
1995-01-13,Tales from the Crypt: Demon Knight,6.7
1994-11-17,Star Trek: Generations,6.4
1995-05-24,Tales from the Hood,5.4
1994-04-15,Tom & Viv,5.8
1995-04-28,Village of the Damned,5.6
